Data {"LOG" : 15 , "LAT": 27 ,"Time": "2016/09/18  16:00:29"}
Data {"LOG" : 36 , "LAT": 18 ,"Time": "2016/09/18  16:00:29"}
Data {"LOG" : 68 , "LAT": 82 ,"Time": "2016/09/18  16:00:29"}
Data {"LOG" : 40 , "LAT": 77 ,"Time": "2016/09/18  16:00:29"}
Data {"LOG" : 8 , "LAT": 86 ,"Time": "2016/09/18  16:00:29"}
Data {"LOG" : 26 , "LAT": 44 ,"Time": "2016/09/18  16:00:29"}
Data {"LOG" : 55 , "LAT": 99 ,"Time": "2016/09/18  16:00:29"}
Data {"LOG" : 89 , "LAT": 9 ,"Time": "2016/09/18  16:00:29"}
Data {"LOG" : 10 , "LAT": 0 ,"Time": "2016/09/18  16:00:29"}
Data {"LOG" : 10 , "LAT": 68 ,"Time": "2016/09/18  16:00:29"}
Data {"LOG" : 70 , "LAT": 41 ,"Time": "2016/09/18  16:00:29"}
Data {"LOG" : 6 , "LAT": 94 ,"Time": "2016/09/18  16:00:29"}
Data {"LOG" : 33 , "LAT": 17 ,"Time": "2016/09/18  16:00:29"}
Data {"LOG" : 88 , "LAT": 61 ,"Time": "2016/09/18  16:00:29"}
Data {"LOG" : 51 , "LAT": 74 ,"Time": "2016/09/18  16:00:29"}
Data {"LOG" : 82 , "LAT": 54 ,"Time": "2016/09/18  16:00:29"}
Data {"LOG" : 18 , "LAT": 38 ,"Time": "2016/09/18  16:00:29"}
Data {"LOG" : 53 , "LAT": 13 ,"Time": "2016/09/18  16:00:29"}
Data {"LOG" : 25 , "LAT": 10 ,"Time": "2016/09/18  16:00:29"}
Data {"LOG" : 28 , "LAT": 21 ,"Time": "2016/09/18  16:00:29"}
Data {"LOG" : 6 , "LAT": 75 ,"Time": "2016/09/18  16:00:29"}
Data {"LOG" : 78 , "LAT": 89 ,"Time": "2016/09/18  16:00:29"}
Data {"LOG" : 92 , "LAT": 48 ,"Time": "2016/09/18  16:00:29"}
Data {"LOG" : 22 , "LAT": 62 ,"Time": "2016/09/18  16:00:29"}
Data {"LOG" : 14 , "LAT": 50 ,"Time": "2016/09/18  16:00:29"}
Data {"LOG" : 70 , "LAT": 14 ,"Time": "2016/09/18  16:00:29"}
Data {"LOG" : 49 , "LAT": 13 ,"Time": "2016/09/18  16:00:29"}
Data {"LOG" : 64 , "LAT": 3 ,"Time": "2016/09/18  16:00:29"}
Data {"LOG" : 88 , "LAT": 72 ,"Time": "2016/09/18  16:00:29"}
Data {"LOG" : 50 , "LAT": 49 ,"Time": "2016/09/18  16:00:29"}
Data {"LOG" : 45 , "LAT": 55 ,"Time": "2016/09/18  16:00:29"}
Data {"LOG" : 59 , "LAT": 61 ,"Time": "2016/09/18  16:00:29"}
Data {"LOG" : 13 , "LAT": 74 ,"Time": "2016/09/18  16:00:29"}
Data {"LOG" : 17 , "LAT": 9 ,"Time": "2016/09/18  16:00:29"}
Data {"LOG" : 29 , "LAT": 41 ,"Time": "2016/09/18  16:00:29"}
Data {"LOG" : 64 , "LAT": 8 ,"Time": "2016/09/18  16:00:29"}
Data {"LOG" : 62 , "LAT": 27 ,"Time": "2016/09/18  16:00:29"}
Data {"LOG" : 94 , "LAT": 23 ,"Time": "2016/09/18  16:00:29"}
Data {"LOG" : 74 , "LAT": 31 ,"Time": "2016/09/18  16:00:29"}
Data {"LOG" : 71 , "LAT": 48 ,"Time": "2016/09/18  16:00:29"}
Data {"LOG" : 41 , "LAT": 17 ,"Time": "2016/09/18  16:00:29"}
Data {"LOG" : 6 , "LAT": 31 ,"Time": "2016/09/18  16:00:29"}
Data {"LOG" : 4 , "LAT": 67 ,"Time": "2016/09/18  16:00:29"}
Data {"LOG" : 42 , "LAT": 74 ,"Time": "2016/09/18  16:00:29"}
Data {"LOG" : 61 , "LAT": 81 ,"Time": "2016/09/18  16:00:29"}
Data {"LOG" : 85 , "LAT": 87 ,"Time": "2016/09/18  16:00:29"}
Data {"LOG" : 89 , "LAT": 38 ,"Time": "2016/09/18  16:00:29"}
Data {"LOG" : 89 , "LAT": 45 ,"Time": "2016/09/18  16:00:29"}
Data {"LOG" : 48 , "LAT": 58 ,"Time": "2016/09/18  16:00:29"}
Data {"LOG" : 52 , "LAT": 90 ,"Time": "2016/09/18  16:00:29"}
Data {"LOG" : 61 , "LAT": 75 ,"Time": "2016/09/18  16:00:29"}
Data {"LOG" : 56 , "LAT": 67 ,"Time": "2016/09/18  16:00:29"}
Data {"LOG" : 44 , "LAT": 2 ,"Time": "2016/09/18  16:00:29"}
Data {"LOG" : 41 , "LAT": 54 ,"Time": "2016/09/18  16:00:29"}
Data {"LOG" : 31 , "LAT": 52 ,"Time": "2016/09/18  16:00:29"}
Data {"LOG" : 75 , "LAT": 49 ,"Time": "2016/09/18  16:00:29"}
Data {"LOG" : 97 , "LAT": 74 ,"Time": "2016/09/18  16:00:29"}
Data {"LOG" : 85 , "LAT": 7 ,"Time": "2016/09/18  16:00:29"}
Data {"LOG" : 96 , "LAT": 96 ,"Time": "2016/09/18  16:00:29"}
Data {"LOG" : 91 , "LAT": 92 ,"Time": "2016/09/18  16:00:29"}
Data {"LOG" : 75 , "LAT": 47 ,"Time": "2016/09/18  16:00:29"}
Data {"LOG" : 95 , "LAT": 80 ,"Time": "2016/09/18  16:00:29"}
Data {"LOG" : 24 , "LAT": 76 ,"Time": "2016/09/18  16:00:29"}
Data {"LOG" : 62 , "LAT": 17 ,"Time": "2016/09/18  16:00:29"}
Data {"LOG" : 67 , "LAT": 3 ,"Time": "2016/09/18  16:00:29"}
